	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
DEF6	2100	1786	2510	1326	1236	1651
DEF8	1825	1496	2411	3551	3406	4916
DEFB1	16	11	14	1	0	0
DEFB124	0	0	0	7	10	5
DEGS1	1182	1174	2268	3714	3556	4592
DEGS2	2	2	2	0	1	3
DEK	7357	7039	13874	8949	8829	9829
DENND1A	1546	1271	2001	1523	1377	2071
DENND1B	272	291	514	460	524	539
DENND1C	387	363	616	13	7	16
DENND2A	7	6	9	43	54	58
DENND2C	424	364	719	156	153	204
DENND2D	1041	903	1568	439	453	589
DENND3	1345	1249	1863	996	963	1389
DENND4A	1034	959	1847	858	781	1039
DENND4B	1455	1240	1833	2788	2457	3713
DENND4C	3220	3143	6325	1504	1467	1831
DENND5A	1533	1413	2335	3384	3297	4301
DENND5B	195	196	349	961	947	1198
DENND5B-AS1	2	2	1	0	4	1
DENND6A	1317	1282	2315	1259	1307	1393
DENND6B	313	249	412	407	351	560
DENR	2406	2339	4498	3677	3602	4274
DEPDC1	2661	2706	5542	1606	1676	1889
DEPDC1B	1953	1879	3612	1263	1321	1519
DEPDC4	36	50	80	39	44	48
DEPDC5	1384	1132	1919	732	699	990
DEPDC7	176	174	322	275	263	334
DEPTOR	256	215	332	21	21	19
DERA	1306	1173	2170	1385	1373	1702
DERL1	3055	2847	4742	4247	4126	5441
DERL2	1038	943	1765	1860	1727	2039
DERL3	72	42	70	114	113	170
DESI1	2707	2472	4093	3125	3068	4071
DESI2	2220	2047	3869	2906	2948	3557
DET1	150	123	231	261	265	289
DEXI	786	732	1050	1057	957	1460
DFFA	1399	1205	1925	1597	1571	2318
DFFB	294	260	415	239	213	292
DFNA5	2289	2040	3506	2523	2427	3334
DFNB31	635	578	783	694	579	909
DFNB59	47	59	112	66	57	58
DGAT1	1709	1375	1985	1439	1291	1826
DGAT2	698	608	817	941	862	1228
DGCR11	170	139	266	206	190	249
DGCR14	1240	1034	1412	1437	1343	1847
DGCR2	6739	5688	7819	5756	5288	7928
DGCR5	7	5	5	22	18	36
DGCR6	298	247	323	299	282	395
DGCR6L	1255	963	1343	1217	1102	1620
DGCR8	1381	1230	1959	2767	2555	3465
DGCR9	6	6	12	3	3	9
DGKA	4038	3467	6335	8957	8627	11270
DGKD	1411	1263	1973	2783	2528	3796
DGKE	370	331	607	332	315	377
DGKG	2	1	3	13	6	8
DGKH	370	333	515	204	217	342
DGKI	1	0	2	290	271	373
DGKQ	740	645	865	1476	1315	1988
DGKZ	1268	1027	1448	1706	1560	2240
DGUOK	1931	1917	3018	2897	2877	3593
DHCR24	33423	28841	46997	30149	28819	39156
DHCR7	2655	2266	3715	10303	9325	13345
DHDDS	1256	1144	1768	1851	1783	2405
DHDH	74	71	124	12	9	17
DHFR	3166	2849	5334	2590	2515	3056
DHFRL1	581	530	963	353	367	440
DHH	0	0	1	5	3	5
DHODH	343	298	492	223	254	367
DHPS	2048	1698	2712	2127	1981	2859
DHRS1	2417	1953	3085	1464	1306	1881
DHRS11	440	333	527	332	316	452
DHRS12	222	189	290	280	247	339
DHRS13	663	599	852	230	237	330
DHRS2	90	90	130	2425	2244	3240
DHRS3	829	653	1024	35	33	43
DHRS4	107	77	139	99	90	82
DHRS4-AS1	168	182	355	211	202	270
DHRS4L1	7	5	9	2	3	3
DHRS4L2	320	271	416	352	327	514
DHRS7	2162	2012	3505	3128	3086	4309
DHRS7B	749	708	1041	843	789	1063
DHRS9	16	10	36	0	0	0
DHTKD1	1754	1565	2990	1133	1101	1468
DHX15	7738	7143	12784	7929	8057	9998
DHX16	2417	1996	3098	3003	2850	4074
DHX29	4204	3945	7280	5776	5823	6814
DHX30	4325	3584	5316	5257	4714	7106
DHX32	1316	1226	2177	1696	1664	2213
DHX33	1975	1834	3138	2525	2330	3221
DHX34	1118	862	1194	1195	1040	1570
DHX35	799	835	1231	1183	1142	1542
DHX36	1861	1820	3445	2209	2155	2628
DHX37	1530	1161	1752	1548	1430	1984
DHX38	3848	3224	5345	5445	4916	7450
DHX40	1956	1825	3362	1999	1995	2505
DHX57	1142	1121	2060	1323	1359	1675
DHX58	515	450	641	221	197	296
DHX8	3268	2918	4796	3325	3161	4519
DHX9	8233	7663	13323	10929	11114	13642
DIABLO	2104	1845	3091	2177	2163	2775
DIAPH1	17399	15427	26194	18497	17538	24233
DIAPH2	464	459	814	404	317	434
DIAPH3	1863	1777	3327	2477	2360	2810
DICER1	3030	2935	4855	2768	2756	3207
DICER1-AS1	76	64	123	155	111	156
DIDO1	5500	4849	7340	7667	7356	10900
DIEXF	1395	1311	2350	2369	2331	2816
DIMT1	2087	1934	3538	2256	2204	2736
DIO1	4	1	6	4	4	6
DIO2	18	11	23	43	44	45
DIP2A	2054	1827	3002	2302	2290	3179
DIP2B	3966	3600	5981	4358	4523	5815
DIP2C	20	24	40	24	32	34
DIRAS1	3	1	3	17	22	13
DIRAS3	11	19	20	28	24	36
DIRC2	1346	1302	2235	732	742	955
DIS3	2746	2486	4760	3803	3786	4640
DIS3L	998	869	1835	749	775	954
DIS3L2	1458	1326	2125	1416	1272	1840
DISP1	314	272	509	325	313	390
DISP2	67	50	70	238	241	341
DIXDC1	841	743	1287	8356	8263	10190
DKC1	5140	4587	8146	4797	4764	6181
DKFZP434I0714	177	164	368	329	337	436
DKFZP586I1420	283	249	550	213	203	213
DKFZP686I15217	37	41	57	88	73	122
DKFZp434J0226	0	3	1	436	342	474
DKFZp566F0947	4	1	2	10	8	6
DKK1	961	858	1635	7276	7172	8310
DKK3	8025	6989	11697	20534	19499	27196
DKKL1	2	7	4	7	11	19
DLAT	3513	3242	5625	2194	2181	2645
DLC1	381	339	582	2009	1930	2311
DLD	5026	4561	8662	3221	3170	3675
DLEC1	18	22	31	25	17	27
DLEU1	411	394	785	203	258	269
DLEU2	36	42	67	54	71	99
DLEU2L	22	25	57	47	41	42
DLEU7	1	0	1	6	5	10
DLG1	3454	3229	5868	3367	3543	3909
DLG1-AS1	30	51	62	21	13	14
DLG2	13	10	23	12	8	15
DLG3	1382	1208	2201	781	743	1012
DLG4	54	63	91	433	371	589
DLG5	8264	7003	10747	6673	6324	8986
DLG5-AS1	25	26	40	33	37	50
DLGAP1-AS1	96	84	153	140	131	154
DLGAP3	7	6	11	12	8	22
DLGAP4	3899	3280	4844	11661	10462	15128
DLGAP5	4249	4089	8335	2565	2579	3001
DLK2	1103	955	1207	75	54	89
DLL1	953	741	1158	194	179	275
DLL3	8	7	6	14	13	24
DLL4	5	6	2	37	44	50
DLST	6197	5610	9423	6644	6354	8859
DLX1	165	141	238	980	888	1281
DLX2	228	196	288	389	305	513
DLX3	182	193	273	13	13	20
DLX4	105	96	161	9	20	15
DLX5	88	63	86	5	7	8
DMAP1	1297	1122	1830	1534	1436	2058
DMBT1	12	6	13	887	813	1180
DMBX1	3	2	7	20	22	34
DMC1	33	36	72	91	82	121
DMD	486	450	854	776	757	985
DMGDH	22	16	33	10	8	16
DMKN	1390	1187	2256	989	946	1276
DMPK	1163	986	1384	2199	1906	2805
DMRT2	4	4	7	21	17	15
DMRTA1	94	89	165	35	33	30
DMTF1	2185	2096	3976	3757	3872	4636
DMWD	1208	960	1346	1957	1666	2720
DMXL1	4338	4216	7468	1915	2055	2483
DMXL2	1458	1354	2259	1504	1562	1875
DNA2	416	338	700	590	596	657
DNAAF1	8	4	16	5	2	8
DNAAF2	665	627	1093	684	687	844
DNAAF3	263	246	322	62	59	96
DNAH1	132	128	223	187	186	300
DNAH10	249	200	362	843	808	1082
DNAH11	29	25	38	42	38	48
DNAH12	2	7	7	19	27	19
DNAH14	227	168	410	288	253	292
DNAH17	33	37	76	166	149	210
DNAH2	398	324	545	698	642	959
DNAH3	87	87	144	44	42	61
DNAH5	77	69	174	387	358	460
DNAH6	53	48	107	111	78	114
DNAH7	8	10	14	4	7	8
DNAH9	15	16	29	4	4	4
DNAI1	5	1	4	41	24	37
DNAJA1	8056	7280	13057	10199	10080	12887
DNAJA2	3963	3689	6341	3404	3448	4478
DNAJA3	3465	2913	4561	3009	2850	4254
DNAJA4	320	309	589	616	554	805
DNAJB1	14322	12629	19724	4991	4630	6649
DNAJB11	2623	2322	4481	5941	5570	7132
DNAJB12	2796	2410	4075	2779	2573	3849
DNAJB13	3	5	11	11	9	8
DNAJB14	744	707	1257	854	894	1143
DNAJB2	3264	2687	4119	5070	4598	6702
DNAJB3	17	4	17	0	0	2
DNAJB4	661	689	1234	1499	1428	1593
DNAJB5	1447	1289	2021	8254	7814	11078
DNAJB6	1467	1342	2038	3324	3037	4211
DNAJB7	4	2	10	4	3	5
DNAJB9	373	415	670	813	772	991
DNAJC1	1933	1710	3031	2276	2165	2872
DNAJC10	2785	2609	4991	7525	7559	8976
DNAJC11	3498	3035	5084	3045	2912	3976
DNAJC12	61	70	106	74	78	105
DNAJC13	2934	2885	5204	3489	3428	4273
DNAJC14	1731	1542	2561	2524	2368	3315
DNAJC15	1980	1743	3548	2703	2810	3193
DNAJC16	803	747	1377	782	799	923
DNAJC17	462	406	680	849	802	1148
DNAJC18	609	511	1141	1039	1053	1326
DNAJC19	401	388	743	385	346	513
DNAJC2	1768	1568	3051	1952	1780	2146
DNAJC21	2480	2304	4336	2309	2383	2769
DNAJC22	28	36	65	49	60	88
DNAJC24	500	460	871	690	710	839
DNAJC25	706	740	1477	1235	1245	1408
DNAJC27	209	208	352	213	244	317
DNAJC27-AS1	24	16	18	14	9	13
DNAJC28	39	37	86	50	43	54
DNAJC3	1630	1582	3093	3961	3869	4613
DNAJC30	749	612	813	663	589	841
DNAJC4	1018	791	1106	805	710	1098
DNAJC5	10311	8699	12559	10823	10047	14398
DNAJC6	68	52	100	66	76	89
DNAJC7	4272	3826	7325	4929	4731	5981
DNAJC8	3715	3415	6164	5106	4755	5861
DNAJC9	1632	1520	2769	2974	2914	3802
DNAJC9-AS1	42	58	94	85	97	78
DNAL1	417	435	876	667	680	794
DNAL4	859	763	1173	955	942	1268
DNALI1	27	17	23	13	10	21
DNASE1	141	109	199	227	224	369
DNASE1L1	1299	1134	1657	2201	2112	2980
DNASE1L2	27	16	45	71	70	115
DNASE1L3	41	24	29	2	2	1
DNASE2	2108	1887	2873	1221	1087	1583
DND1	530	453	655	557	497	725
DNER	476	359	681	24371	23299	32648
DNHD1	531	491	967	611	569	789
DNLZ	454	384	500	831	696	992
DNM1	135	110	192	612	520	647
DNM1L	4111	3799	8202	5560	5479	6804
DNM1P35	11	11	13	13	8	16
DNM1P41	7	6	12	6	8	9
DNM2	7215	5909	8639	8539	7956	11751
DNM3	284	286	501	143	144	148
DNMBP	1807	1612	2857	3965	3667	5093
DNMT1	6268	5323	8629	7705	7177	10160
DNMT3A	346	282	474	417	397	527
DNMT3B	502	447	818	362	300	470
DNPEP	2574	2195	3384	1876	1669	2553
DNPH1	1538	1246	1596	1571	1360	2122
DNTTIP1	1903	1683	2647	2487	2377	3308
DNTTIP2	3284	2959	5639	6218	6131	7035
DOC2A	256	213	329	19	19	40
DOCK1	2590	2303	4260	4112	4009	5328
DOCK10	200	194	275	29	22	42
DOCK11	28	20	46	176	203	229
DOCK2	1	1	1	181	199	245
DOCK3	24	14	43	48	41	58
DOCK4	704	648	1056	1825	1799	2237
DOCK5	1984	1726	3071	3026	2866	3950
DOCK6	2930	2376	3590	2922	2670	4253
DOCK7	1486	1355	2456	2304	2309	2809
DOCK8	147	139	236	65	53	99
DOCK9	3067	2673	4495	2608	2567	3309
DOHH	673	517	635	769	619	1050
DOK1	124	111	126	545	507	756
DOK3	328	266	448	388	323	494
DOK4	361	297	432	643	578	895
DOK6	1	1	3	8	6	7
DOK7	234	170	264	51	59	83
DOLK	1266	1081	1571	1996	1904	2585
DOLPP1	1614	1501	2389	1915	1859	2591
DOM3Z	740	623	976	980	947	1311
DONSON	633	608	1232	1623	1564	1836
DOPEY1	1042	1027	1588	654	675	834
DOPEY2	397	329	633	155	138	239
DOT1L	2445	1959	2597	2453	2064	3421
DPAGT1	1728	1506	2424	2057	2028	2639
DPCD	700	618	951	889	874	1117
DPCR1	59	45	92	5	1	5
DPF1	121	112	143	419	400	586
DPF2	1546	1345	2095	2366	2306	3077
DPF3	79	60	95	27	22	28
DPH1	1177	971	1305	755	678	1012
DPH2	1922	1596	2443	1911	1732	2409
DPH3	768	749	1525	1980	2032	2404
DPH3P1	74	65	142	129	113	152
DPH5	1479	1384	2598	1110	1160	1462
DPM1	2807	2734	5524	3646	3823	4352
DPM2	1613	1322	2108	2316	2173	3060
DPM3	604	508	632	615	559	936
DPP3	3966	3256	4949	3350	3128	4581
DPP4	16	34	49	69	68	93
DPP7	1438	1186	1617	2212	1955	3042
DPP8	985	1067	1920	1555	1549	1869
DPP9	3643	2910	4453	5760	5051	7545
DPRXP4	5	8	8	2	4	5
DPT	1	2	0	10	3	6
DPY19L1	1247	1154	2170	2920	2819	3454
DPY19L1P1	86	99	176	139	162	169
DPY19L2	0	0	0	9	12	12
DPY19L2P1	0	0	1	16	14	18
DPY19L2P2	10	8	20	31	33	55
DPY19L3	809	756	1383	1736	1698	1941
DPY19L4	1229	1281	2229	1718	1774	2009
DPY30	825	728	1523	1071	945	1165
DPYD	964	880	1505	485	500	681
DPYSL2	1518	1338	2325	4533	4229	5418
DPYSL3	33	28	43	182	169	206
DPYSL4	180	122	208	516	434	706
DQX1	569	487	876	120	120	161
DR1	3378	3197	5118	3691	3542	4396
DRAM1	288	307	560	1307	1220	1685
DRAM2	1336	1235	2314	1618	1609	1922
DRAP1	3753	3139	4473	6743	5953	8090
DRAXIN	0	1	1	55	50	90
DRD2	13	9	24	70	84	115
DRD4	4	1	2	8	9	13
DRG1	2099	1822	3327	2361	2361	3063
DRG2	1426	1262	1902	2002	1849	2556
DROSHA	4666	4305	7449	5218	5016	6459
DRP2	57	34	78	82	85	97
DSC1	15	7	23	3	3	1
DSC2	1611	1515	2975	272	272	374
DSC3	17560	16974	31400	3961	4167	5250
DSCAM	5	12	16	174	177	280
DSCAML1	0	0	0	0	0	0
DSCC1	402	431	727	513	500	579
DSCR3	2374	2269	3979	2472	2348	3233
DSCR6	1	2	4	5	7	6
DSCR8	0	0	0	2	4	3
DSCR9	6	10	13	9	10	15
DSE	2992	2643	4679	4849	4729	6187
DSEL	74	61	125	574	580	648
DSG1	341	299	927	2	1	1
DSG2	10732	9983	20892	10261	10161	13798
DSG3	14640	13751	27038	659	684	906
DSN1	1259	1130	2438	2641	2497	3099
DSP	130794	117382	197669	24625	23342	32095
DST	64873	61749	102463	8340	8361	10502
DSTN	15883	15543	29672	16715	16932	20828
DSTNP2	76	69	113	130	138	162
DSTYK	961	803	1733	1287	1338	1638
DTD1	3052	2628	4567	3718	3456	4670
DTD2	353	337	728	322	257	335
DTL	835	801	1480	2756	2704	3335
DTNA	6	4	9	18	12	16
DTNB	1717	1501	2405	1239	1155	1614
DTNBP1	525	511	840	472	427	582
DTWD1	434	461	829	606	621	670
DTWD2	550	508	915	121	111	151
DTX2	1769	1441	1925	785	672	1133
DTX2P1-UPK3BP1-PMS2P11	96	84	95	58	42	58
DTX3	51	41	66	199	191	288
DTX3L	2178	2065	3834	1077	1160	1409
DTX4	1533	1367	2087	363	334	475
DTYMK	2431	2044	3205	2813	2599	3564
DUOX1	2206	1778	3169	313	299	456
DUOX2	47	31	59	9	12	19
DUOXA1	244	195	379	32	34	40
DUOXA2	12	10	11	2	3	1
DUS1L	3062	2462	3653	3284	2922	4199
DUS2L	1002	819	1296	719	714	1006
DUS3L	1629	1289	1765	1184	1074	1658
DUS4L	306	334	629	423	449	517
DUSP1	4629	4091	6102	16899	15813	22459
DUSP10	2453	2041	3356	2216	2130	2586
DUSP11	1895	1776	3162	1798	1819	2276
DUSP12	755	669	1280	1243	1228	1624
DUSP13	2	4	7	0	0	0
DUSP14	2449	2136	3381	1293	1118	1566
DUSP15	23	12	15	29	26	36
DUSP16	683	664	1000	1679	1680	2342
DUSP18	137	119	187	197	148	214
DUSP19	54	47	104	31	34	31
DUSP2	315	263	411	181	156	176
DUSP22	978	870	1437	1653	1591	2186
DUSP23	2458	2007	2536	6023	5267	7345
DUSP28	96	82	107	145	105	123
DUSP3	1589	1443	2552	4662	4380	6015
DUSP4	6658	5646	8427	14288	13073	18527
DUSP5	3524	3010	5655	1974	1792	2245
DUSP5P1	11	3	11	29	20	49
DUSP6	32802	29699	47426	10227	9621	12690
DUSP7	8430	6892	9042	5028	4294	6886
DUSP8	18	18	32	169	136	184
DUSP9	113	89	123	22	19	22
DUT	2427	2389	3543	3512	2989	4083
DVL1	3576	2940	3819	6730	5911	9215
DVL2	1667	1356	2126	1963	1789	2594
DVL3	4066	3465	5289	5656	5164	7241
DYM	1753	1595	2700	1658	1525	1969
DYNC1H1	19827	17399	27891	24361	22981	33535
DYNC1I1	14	10	18	39	28	56
DYNC1I2	1932	1765	3477	3141	3148	3984
DYNC1LI1	1644	1536	2802	1890	1805	2268
DYNC1LI2	4574	4351	8177	7911	7756	9716
DYNC2H1	1436	1390	2298	745	780	893
DYNC2LI1	507	508	916	482	517	509
DYNLL1	9482	8075	15026	9619	9368	12148
DYNLL2	2013	1752	2797	1883	1794	2297
DYNLRB1	5720	5128	7978	6654	6425	8198
DYNLRB2	10	12	18	14	14	26
DYNLT1	2262	2212	3748	2811	2844	3538
DYNLT3	771	749	1463	1506	1546	1763
DYRK1A	1966	1736	3183	1621	1697	1951
DYRK1B	1258	1013	1339	994	827	1268
DYRK2	548	482	864	1274	1220	1532
DYRK3	499	494	776	899	913	1278
DYRK4	681	582	1007	1015	1015	1387
DYSF	265	206	339	1208	1043	1594
DYX1C1	4	11	9	4	14	11
DZANK1	151	172	290	192	188	241
DZIP1	29	26	56	110	106	140
DZIP1L	68	59	115	461	411	621
DZIP3	758	676	1459	449	462	583
E2F1	601	528	877	2331	2151	2935
E2F2	259	249	353	352	357	439
E2F3	1171	1083	1925	2328	2315	2975
E2F4	3766	3121	4925	5166	4811	6755
E2F5	62	45	79	22	27	33
E2F6	301	263	491	442	435	529
E2F7	3449	3133	5507	2683	2672	3236
E2F8	509	398	774	620	538	722
E4F1	1279	998	1380	1802	1458	2464
EAF1	1733	1628	2857	1705	1618	2030
EAF2	152	145	279	86	95	102
EAPP	1686	1599	2962	1557	1480	1869
EARS2	1971	1817	2864	1686	1677	2290
EBAG9	975	948	1706	861	842	994
EBF4	0	1	1	5	6	4
EBI3	0	0	0	75	65	86
EBLN2	57	42	85	76	68	104
EBNA1BP2	4098	3596	6490	5208	4828	6306
EBP	4313	3688	5948	6746	6167	8657
EBPL	1866	1637	2980	1253	1250	1606
ECD	1524	1415	2680	1837	1779	2264
ECE1	4701	4031	6228	7234	6592	9482
ECE2	556	483	671	688	669	988
ECH1	3441	2817	4089	1737	1603	2372
ECHDC1	2111	2116	4267	2288	2470	2741
ECHDC2	782	705	1155	260	231	315
ECHDC3	454	417	631	176	169	260
ECHS1	4801	4215	6898	3325	3242	4425
ECI1	2659	2087	2834	948	871	1289
ECI2	1600	1418	2679	1088	1144	1405
ECM1	671	570	876	1003	969	1395
ECM2	26	26	56	3	8	5
ECSCR	0	0	0	30	31	35
ECSIT	3124	2513	3523	1546	1341	1934
ECT2	4383	4408	8276	3163	3323	3753
ECT2L	11	11	22	10	18	19
EDA	127	112	198	44	38	64
EDA2R	294	234	450	207	204	240
EDAR	13	9	17	5	2	12
EDARADD	2092	1852	3130	2121	2150	2905
EDC3	2237	1936	3174	2830	2542	3582
EDC4	3460	2951	4416	3797	3452	5256
EDEM1	1997	1830	3466	4510	4463	5376
EDEM2	1358	1322	1910	1330	1253	1732
EDEM3	1645	1659	3028	2529	2694	3208
EDF1	11303	9743	15032	13778	13108	19216
EDN1	445	396	749	2031	2065	2407
EDN2	84	65	110	4	7	22
EDNRA	12	9	18	550	545	637
EEA1	1420	1440	2464	1532	1467	1770
EED	612	596	1149	836	893	996
EEF1A1	159637	139611	245389	99867	101454	135661
EEF1B2	7911	7071	12825	7374	6570	8985
EEF1D	14971	12108	17705	14878	13290	20312
EEF1DP3	3	3	1	4	5	5
EEF1E1	196	176	369	311	292	332
EEF1G	24492	20961	35439	21318	20441	28304
EEF2	189175	157793	211524	120949	108678	170776
EEF2K	1412	1206	2165	1059	1001	1335
EEFSEC	1126	953	1356	994	921	1375
EEPD1	102	87	107	40	35	47
EFCAB1	18	20	32	34	28	38
EFCAB10	7	13	18	10	14	17
EFCAB11	395	351	767	388	407	524
EFCAB12	5	2	7	7	4	7
EFCAB13	86	64	94	174	160	217
EFCAB14	5815	5398	9386	5141	5009	6241
EFCAB14-AS1	5	6	11	7	2	10
EFCAB2	300	272	454	338	340	397
EFCAB4A	10	9	12	23	22	37
EFCAB4B	168	184	224	364	309	488
EFCAB5	8	8	10	21	23	19
EFCAB6	81	60	104	56	51	75
EFCAB7	337	338	662	342	374	364
EFEMP1	6477	6008	11137	13908	13866	18440
EFEMP2	46	28	73	228	273	328
EFHA1	1844	1744	3501	1903	1816	2198
EFHA2	49	45	88	129	136	144
EFHB	3	1	10	0	1	4
EFHC1	633	586	1118	798	779	958
EFHC2	40	56	93	3	5	5
EFHD1	357	282	460	36	38	56
EFHD2	5274	4526	6066	3823	3429	4899
EFNA1	1510	1293	2205	2108	2121	3199
EFNA2	1	0	5	4	4	4
EFNA3	404	308	558	147	137	194
EFNA4	429	349	581	501	498	721
EFNA5	1987	1791	3328	1046	1010	1213
EFNB1	7636	6272	8621	6437	5795	8935
EFNB2	4262	3702	6015	3495	3415	4407
EFNB3	335	263	406	544	480	673
EFR3A	2968	3003	5146	3529	3493	4091
EFR3B	8	2	16	37	37	46
EFS	180	161	219	155	166	210
EFTUD1	1139	1024	1896	1612	1669	2030
EFTUD2	5598	4920	8125	6628	6545	8937
EGF	12	7	11	6	5	8
EGFL6	55	47	94	0	0	0
EGFL7	267	209	263	347	266	444
EGFR	11955	10418	15807	12514	12049	17621
EGFR-AS1	24	12	20	25	24	50
EGLN1	1130	1084	1920	1528	1433	1862
EGLN2	1	3	5	8	0	7
EGLN3	316	308	458	125	106	210
EGR1	26658	21169	38360	13233	11503	11848
EGR2	1309	1139	2117	75	55	58
EGR3	4666	3911	5922	125	106	128
EGR4	11	9	6	0	1	1
EHBP1	2591	2394	4274	1962	1948	2370
EHBP1L1	3055	2523	4172	4156	3854	5530
EHD1	4036	3347	4436	6194	5668	8706
EHD2	14518	11735	15810	16606	14554	21923
EHD3	223	204	278	1962	1843	2463
EHD4	1879	1616	2438	2656	2537	3674
EHF	11421	10924	20528	113	105	131
EHHADH	595	541	1072	506	459	650
EHMT1	4715	4071	6256	5436	4986	7515
EHMT2	2488	2036	3030	2412	2222	3285
EI24	6275	5484	9193	8069	7748	9708
EID1	3961	3744	6743	6238	6221	7884
EID2	378	337	590	830	773	1019
EID2B	49	60	57	235	211	281
EID3	4	4	12	1	7	3
EIF1	15027	13019	24021	17200	17055	21919
EIF1AD	765	652	1176	1581	1444	1987
EIF1AX	2390	2347	4388	2410	2355	2727
EIF1AY	747	767	1572	1059	1106	1333
EIF1B	1184	1145	1969	1070	1169	1399
EIF1B-AS1	15	21	36	27	12	11
EIF2A	6968	6578	12340	5529	5511	6426
EIF2AK1	6867	6327	10642	6758	6680	8633
EIF2AK2	1329	1260	2179	992	1006	1262
EIF2AK3	664	619	1190	1127	1131	1477
EIF2AK4	3162	2805	5291	3839	3578	4808
EIF2B1	2271	2211	3845	3221	3041	4065
EIF2B2	1824	1575	2501	2032	1950	2789
EIF2B3	1073	964	1852	1197	1296	1626
EIF2B4	1461	1303	2062	2080	2064	2598
EIF2B5	2545	2318	3833	2887	2688	3821
EIF2D	3679	3227	5496	3054	2903	4188
EIF2S1	4624	4438	8410	5874	5932	7195
EIF2S2	3727	3289	6512	4826	4615	5930
EIF2S3	8151	7422	14808	6881	6927	8264
EIF3A	19853	17783	29611	17682	17081	22067
EIF3B	9733	8624	14528	10793	10320	14270
EIF3D	13262	11544	18472	12759	12117	16499
EIF3E	15930	15487	29017	11302	11535	13849
EIF3F	7283	6228	9073	5502	5331	7983
EIF3G	5372	4483	6820	6485	5842	8699
EIF3H	11058	10286	17363	9154	8942	11848
EIF3I	7536	6695	11199	8542	8191	11518
EIF3IP1	29	24	33	17	32	21
EIF3J	3901	3697	7260	4744	4770	5578
EIF3K	12502	10797	17528	7927	7691	10951
EIF3L	16021	14533	23955	12224	11432	15159
EIF3M	6420	6096	11044	5304	5414	6692
EIF4A2	7417	6967	12988	8882	9012	11060
EIF4A3	3504	3145	5195	4646	4266	5940
EIF4B	13631	12464	22834	9705	9768	11717
EIF4E	1042	1038	1910	1255	1271	1254
EIF4E2	2650	2244	3734	3201	2931	3899
EIF4E3	487	406	818	350	343	425
EIF4EBP1	1677	1438	2260	3221	2938	4157
EIF4EBP2	6828	6121	10667	4975	4806	6320
EIF4EBP3	5	3	15	8	2	6
EIF4ENIF1	729	648	1087	1106	1094	1523
EIF4G1	25739	21980	34488	37211	34071	49342
EIF4G2	39009	35442	62876	42609	41699	51291
EIF4G3	4807	4242	7358	6182	5890	7701
EIF4H	9907	8686	15150	12078	11627	16314
EIF5	7549	7221	13702	9838	9712	11880
EIF5A	16636	14213	21242	16114	14164	17576
EIF5A2	311	322	629	675	645	785
EIF5AL1	2687	2401	3646	2726	2458	3556
EIF5B	7398	6783	13044	9600	9458	10870
EIF6	9160	7917	12595	10953	10521	14535
ELAC1	366	346	683	357	383	503
ELAC2	3453	2898	4823	3500	3185	4526
ELAVL1	3342	2978	4792	3764	3573	4885
ELAVL2	1183	1177	2271	371	363	446
ELAVL3	0	1	1	7	5	3
ELF1	3855	3641	6348	2519	2546	3144
ELF2	1689	1539	2751	1401	1458	1776
ELF3	58	56	96	10	4	7
ELF4	4694	3889	6061	3196	2927	4395
ELFN1	0	0	0	6	9	14
ELFN2	14	11	12	69	56	96
ELK1	2624	2223	2979	2309	2056	2905
ELK3	1486	1279	1713	5629	5176	6913
ELK4	2433	2347	4824	1911	1940	2306
ELL	1704	1392	1905	1673	1480	2324
ELL2	9020	8556	15867	11663	11448	12726
ELL3	540	466	884	193	221	231
ELMO2	1631	1464	2432	2738	2664	3708
ELMO3	1435	1224	1724	815	749	1151
ELMOD1	0	0	0	4	2	5
ELMOD2	1341	1419	2626	2224	2543	2780
ELMOD3	647	608	937	1069	1045	1416
ELMSAN1	6532	5389	9142	2575	2373	3362
ELN	618	437	720	10	5	6
ELOF1	2137	1759	2705	2691	2456	3409
ELOVL1	4140	3483	5774	6890	6591	9164
ELOVL2	1	1	2	7	5	6
ELOVL3	35	15	34	37	42	53
ELOVL4	196	176	336	358	364	447
ELOVL5	5813	5397	10166	7966	7865	9572
ELOVL6	1576	1475	2840	2423	2414	2954
ELOVL7	499	515	973	186	174	243
ELP2	1627	1535	2718	1556	1597	1983
ELP3	2179	1850	3471	1730	1709	2218
ELP4	1030	964	1811	925	936	1130
ELP5	1341	1164	1847	1941	1829	2481
ELP6	1261	1207	1866	1436	1350	1907
EMB	2253	2221	3971	3620	3608	4364
EMBP1	62	57	105	106	103	114
EMC1	4119	3575	6051	4446	4340	5788
EMC10	4469	3581	5082	5502	4886	7254
EMC2	1166	1116	2383	1128	1051	1272
EMC3	3199	2972	4928	3045	2865	3859
EMC4	2315	2089	3425	3108	2953	4014
EMC6	39	32	40	37	23	65
EMC7	2406	2182	4119	3021	3085	3954
EMC8	1211	1053	1541	1856	1683	2354
EMC9	664	520	903	565	464	721
EMD	4226	3535	5207	3931	3412	4543
EME1	477	387	758	647	553	767
EME2	149	139	198	150	122	191
EMG1	1355	1257	2176	2441	2447	3101
EMID1	5	3	7	2	3	1
EMILIN1	43	29	37	62	59	66
EMILIN2	48	40	61	263	269	314
EMILIN3	5	7	11	4	6	9
